GEOID,year,name,parent-location,population,poverty-rate,renter-occupied-households,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,eviction-filings,evictions,eviction-rate,eviction-filing-rate,low-flag,imputed,subbed
09,2000,Connecticut,USA,3405565.0,7.86,431941.0,33.18,681.0,53935.0,166900.0,25.4,77.49,8.68,9.41,0.21,2.4,0.03,1.55,0.24,,,,,1,0,0
09,2001,Connecticut,USA,3405565.0,7.86,338401.0,33.18,681.0,53935.0,166900.0,25.4,77.49,8.68,9.41,0.21,2.4,0.03,1.55,0.24,9853.0,7923.0,2.34,2.91,1,0,0
09,2002,Connecticut,USA,3405565.0,7.86,238691.0,33.18,681.0,53935.0,166900.0,25.4,77.49,8.68,9.41,0.21,2.4,0.03,1.55,0.24,9464.0,7029.0,2.94,3.96,1,0,0
09,2003,Connecticut,USA,3405565.0,7.86,239263.0,33.18,681.0,53935.0,166900.0,25.4,77.49,8.68,9.41,0.21,2.4,0.03,1.55,0.24,11652.0,9238.0,3.86,4.87,1,0,0
09,2004,Connecticut,USA,3405565.0,7.86,239835.0,33.18,681.0,53935.0,166900.0,25.4,77.49,8.68,9.41,0.21,2.4,0.03,1.55,0.24,10739.0,8514.0,3.55,4.48,1,0,0
09,2005,Connecticut,USA,3494487.0,6.23,342954.0,30.53,958.0,67721.0,295800.0,30.3,73.96,9.07,11.63,0.16,3.33,0.04,1.39,0.41,13381.0,10478.0,3.06,3.9,1,0,0
09,2006,Connecticut,USA,3494487.0,6.23,344093.0,30.53,958.0,67721.0,295800.0,30.3,73.96,9.07,11.63,0.16,3.33,0.04,1.39,0.41,15841.0,11838.0,3.44,4.6,1,0,0
09,2007,Connecticut,USA,3494487.0,6.23,345231.0,30.53,958.0,67721.0,295800.0,30.3,73.96,9.07,11.63,0.16,3.33,0.04,1.39,0.41,16148.0,11837.0,3.43,4.68,1,0,0
09,2008,Connecticut,USA,3494487.0,6.23,346369.0,30.53,958.0,67721.0,295800.0,30.3,73.96,9.07,11.63,0.16,3.33,0.04,1.39,0.41,16245.0,11742.0,3.39,4.69,1,0,0
09,2009,Connecticut,USA,3494487.0,6.23,347507.0,30.53,958.0,67721.0,295800.0,30.3,73.96,9.07,11.63,0.16,3.33,0.04,1.39,0.41,14190.0,10182.0,2.93,4.08,1,0,0
09,2010,Connecticut,USA,3574097.0,7.11,348646.0,32.51,1044.0,69519.0,285900.0,31.8,71.24,9.38,13.4,0.19,3.75,0.03,1.66,0.34,14174.0,10402.0,2.98,4.07,1,0,0
09,2011,Connecticut,USA,3593222.0,7.55,354079.0,33.0,1075.0,70331.0,270500.0,31.7,69.22,9.63,14.65,0.14,4.16,0.02,1.89,0.29,14751.0,10850.0,3.06,4.17,1,0,0
09,2012,Connecticut,USA,3593222.0,7.55,359511.0,33.0,1075.0,70331.0,270500.0,31.7,69.22,9.63,14.65,0.14,4.16,0.02,1.89,0.29,14286.0,10339.0,2.88,3.97,1,0,0
09,2013,Connecticut,USA,3593222.0,7.55,364945.0,33.0,1075.0,70331.0,270500.0,31.7,69.22,9.63,14.65,0.14,4.16,0.02,1.89,0.29,13330.0,10105.0,2.77,3.65,1,0,0
09,2014,Connecticut,USA,3593222.0,7.55,370379.0,33.0,1075.0,70331.0,270500.0,31.7,69.22,9.63,14.65,0.14,4.16,0.02,1.89,0.29,15349.0,11655.0,3.15,4.14,1,0,0
09,2015,Connecticut,USA,3593222.0,7.55,446458.0,33.0,1075.0,70331.0,270500.0,31.7,69.22,9.63,14.65,0.14,4.16,0.02,1.89,0.29,16360.0,12433.0,2.78,3.66,1,0,0
09,2016,Connecticut,USA,3593222.0,7.55,452973.0,33.0,1075.0,70331.0,270500.0,31.7,69.22,9.63,14.65,0.14,4.16,0.02,1.89,0.29,17470.0,13760.0,3.04,3.86,1,0,0
